authors,title,average_rating
"Larry Niven, Jerry Pournelle",The Mote in God's Eye,4.0
"Jo Nesbø, Don Bartlett","The Snowman (Harry Hole, #7)",4.0
"John  Williams, John McGahern",Stoner,4.0
"David Cote, Stephen Schwartz, Joan Marcus, Winnie Holzman",Wicked: The Grimmerie,4.0
William Shakespeare,As You Like It,4.0
"Garth Ennis, Steve Dillon, Joe R. Lansdale","Preacher, Volume 1: Gone to Texas",4.0
"Edmond Rostand, Eteel Lawson, Lowell Bair",Cyrano de Bergerac,4.0
Anne Fadiman,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",4.0
Richelle Mead,"The Indigo Spell (Bloodlines, #3)",4.0
Karen Marie Moning,"Dreamfever (Fever, #4)",4.0
Kate Atkinson,Case Histories (Jackson Brodie #1),4.0
J. Kenner,"Release Me (Stark Trilogy, #1)",4.0
Sophie Kinsella,Wedding Night,3.0
"Neil Gaiman, Steve Parkhouse, Chris Bachalo, Michael Zulli, Mike Dringenberg, Malcolm Jones III, Todd Klein, Clive Barker",The Doll's House (The Sandman #2),4.0
Eleanor H. Porter,"Pollyanna (Pollyanna, #1)",4.0
Dave Pelzer,The Lost Boy (Dave Pelzer #2),4.0
Hugh Howey,"Dust (Silo, #3)",4.0
Jodi Picoult,Lone Wolf,4.0
Stephen King,Nightmares and Dreamscapes,4.0
Karen Marie Moning,"Shadowfever (Fever, #5)",4.0
John Grisham,The Associate,4.0
Lois Lowry,"Son (The Giver, #4)",4.0
"Neil Gaiman, J.H. Williams III, Dave Stewart, Todd Klein",The Sandman: Overture,4.0
Anthony  Ryan,"Blood Song (Raven's Shadow, #1)",4.0
Simone Elkeles,"Rules of Attraction (Perfect Chemistry, #2)",4.0
Howard Pyle,The Merry Adventures of Robin Hood,4.0
Bret Easton Ellis,Less Than Zero,4.0
Lawrence Hill,Someone Knows My Name,4.0
"Anonymous, Richard Francis Burton, A.S. Byatt",The Arabian Nights,4.0
Tana French,"Faithful Place (Dublin Murder Squad, #3)",4.0
Lily King,Euphoria,4.0
Marian Keyes,"Rachel's Holiday (Walsh Family, #2)",4.0
Isaac Asimov,The Caves of Steel (Robot #1),4.0
Haruki Murakami,"Dance Dance Dance (The Rat, #4)",4.0
"Beverly Cleary, Louis Darling, Tracy Dockray","The Mouse and the Motorcycle (Ralph S. Mouse, #1)",4.0
Carrie Ryan,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",4.0
Terry Brooks,"The Elfstones of Shannara  (The Original Shannara Trilogy, #2)",4.0
"Rachel Cohn, David Levithan","Dash & Lily's Book of Dares (Dash & Lily, #1)",4.0
Eleanor Catton,The Luminaries,4.0
"Laura Joffe Numeroff, Felicia Bond",If You Give a Moose a Muffin,4.0
Dean Koontz,Velocity,4.0
David Sedaris,Barrel Fever: Stories and Essays,4.0
Terry Pratchett,"Reaper Man (Discworld, #11; Death, #2)",4.0
Frank E. Peretti,"Piercing the Darkness (Darkness, #2)",4.0
"Chip Heath, Dan Heath",Made to Stick: Why Some Ideas Survive and Others Die,4.0
Piers Paul Read,Alive: The Story of the Andes Survivors,4.0
Zadie Smith,On Beauty,4.0
Joyce Meyer,Battlefield of the Mind: Winning the Battle in Your Mind,4.0
Nora Roberts,"Dance Upon the Air (Three Sisters Island, #1)",4.0
David Eddings,"Castle of Wizardry (The Belgariad, #4)",4.0
J.R. Ward,"Lover Unleashed (Black Dagger Brotherhood, #9)",4.0
Richard Castle,"Heat Wave (Nikki Heat, #1)",4.0
Amazon,Kindle Paperwhite User's Guide,4.0
C.S. Lewis,"Out of the Silent Planet (Space Trilogy, #1)",4.0
"Laura Joffe Numeroff, Felicia Bond",If You Give a Pig a Pancake ,4.0
Iain Banks,The Wasp Factory,4.0
Marisha Pessl,Night Film,4.0
Rob Lowe,Stories I Only Tell My Friends,4.0
Kevin Kwan,Crazy Rich Asians (Crazy Rich Asians #1),4.0
Libba Bray,"Rebel Angels (Gemma Doyle, #2)",4.0
Karen Marie Moning,"Bloodfever (Fever, #2)",4.0
Karen Marie Moning,"Faefever (Fever, #3)",4.0
Robert Dugoni,My Sister's Grave (Tracy Crosswhite #1),4.0
Ransom Riggs,"Library of Souls (Miss Peregrine's Peculiar Children, #3)",4.0
E.M. Forster,Howards End,4.0
"Mike Mignola, John Byrne","Hellboy, Vol. 1: Seed of Destruction (Hellboy, #1)",4.0
Michelle Hodkin,"The Evolution of Mara Dyer (Mara Dyer, #2)",4.0
Rick Riordan,"The Sword of Summer (Magnus Chase and the Gods of Asgard, #1)",4.0
"Alexandre Dumas, Francine du Plessix Gray, Joachim Neugroschel","The Man in the Iron Mask (The D'Artagnan Romances, #3.3)",4.0
"Shirley Jackson, Laura   Miller",The Haunting of Hill House,4.0
Hunter S. Thompson,The Rum Diary,4.0
Dodie Smith,I Capture the Castle,4.0
"P.C. Cast, Kristin Cast","Destined (House of Night, #9)",4.0
Janet Evanovich,"Finger Lickin' Fifteen (Stephanie Plum, #15)",4.0
Charles Bukowski,Women,4.0
John Jakes,"North and South (North and South, #1)",4.0
Patricia Briggs,"Silver Borne (Mercy Thompson, #5)",4.0
Robert Ludlum,"The Bourne Ultimatum (Jason Bourne, #3)",4.0
Robin Hobb,"Fool's Errand (Tawny Man, #1)",4.0
Marie Lu,"The Young Elites (The Young Elites, #1)",4.0
Nora Roberts,"Jewels of the Sun (Gallaghers of Ardmore, #1)",4.0
"Marcus Aurelius, Martin Hammond, Diskin Clay",Meditations,4.0
"Dave Barry, Ridley Pearson, Greg Call","Peter and the Starcatchers (Peter and the Starcatchers, #1)",4.0
A.S. Byatt,Possession,4.0
Melissa de la Cruz,"Revelations (Blue Bloods, #3)",4.0
Tom Clancy,"Without Remorse (Jack Ryan Universe, #1)",4.0
Peter Straub,Ghost Story,4.0
"Lemony Snicket, Brett Helquist","The Penultimate Peril (A Series of Unfortunate Events, #12)",4.0
Bill Bryson,I'm a Stranger Here Myself: Notes on Returning to America after Twenty Years Away,4.0
"Lemony Snicket, Brett Helquist","The End (A Series of Unfortunate Events, #13)",4.0
Mary Karr,The Liars' Club,4.0
Charlaine Harris,"Dead Ever After (Sookie Stackhouse, #13)",3.0
Ray Bradbury,The Illustrated Man,4.0
Raine Miller,"Naked (The Blackstone Affair, #1)",4.0
Jeff VanderMeer,"Annihilation (Southern Reach, #1)",4.0
Abbi Glines,"Breathe (Sea Breeze, #1)",4.0
"Margaret Wise Brown, Clement Hurd",The Runaway Bunny,4.0
"Stephen Hawking, Leonard Mlodinow",The Grand Design,4.0
John Grisham,The Innocent Man: Murder and Injustice in a Small Town,4.0
"Richard Bachman, Stephen King",The Bachman Books,4.0
Reza Aslan,Zealot: The Life and Times of Jesus of Nazareth,4.0
Terry Goodkind,"Soul of the Fire (Sword of Truth, #5)",4.0
"Jan-Philipp Sendker, Kevin Wiliarty",The Art of Hearing Heartbeats,4.0
Iain M. Banks,"Consider Phlebas (Culture, #1)",4.0
David J. Schwartz,The Magic of Thinking Big,4.0
Anne Rice,"The Vampire Armand (The Vampire Chronicles, #6)",4.0
Abbi Glines,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",4.0
George R.R. Martin,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",4.0
"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",Pinocchio,4.0
Robin LaFevers,"Grave Mercy (His Fair Assassin, #1)",4.0
Henry Miller,Tropic of Cancer,4.0
Wally Lamb,The Hour I First Believed,4.0
Brian Sibley,Harry Potter: Film Wizardry,4.0
"Leo Tolstoy, Aylmer Maude",The Death of Ivan Ilych,4.0
Paula McLain,Circling the Sun,4.0
John Steinbeck,Travels with Charley: In Search of America,4.0
Alice Hoffman,The Dovekeepers,4.0
Scott Lynch,"The Republic of Thieves (Gentleman Bastard, #3)",4.0
Cornelia Funke,The Thief Lord,4.0
Susan Ee,"World After (Penryn & the End of Days, #2)",4.0
Dean Koontz,"Brother Odd (Odd Thomas, #3)",4.0
John Howard Griffin,Black Like Me,4.0
Chuck Palahniuk,Snuff,3.0
James Patterson,"Jack & Jill (Alex Cross, #3)",4.0
Ian McEwan,Saturday,4.0
Jonathan Kellerman,"When the Bough Breaks (Alex Delaware, #1)",4.0
Robert James Waller,The Bridges of Madison County,4.0
Lee Child,"Gone Tomorrow (Jack Reacher, #13)",4.0
Michael Scott,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",4.0
Hilary Mantel,"Bring Up the Bodies (Thomas Cromwell, #2)",4.0
Rick Riordan,"The Maze of Bones  (The 39 Clues, #1)",4.0
Mark Bittman,How to Cook Everything: Simple Recipes for Great Food,4.0
Stephenie Meyer,"The Twilight Collection (Twilight, #1-3)",4.0
Wassily Kandinsky,Concerning the Spiritual in Art,4.0
Winston Groom,"Forrest Gump (Forrest Gump, #1)",4.0
"Albert Camus, Justin O'Brien",The Fall,4.0
Tom Robbins,Even Cowgirls Get the Blues,4.0
"Wilkie Collins, Carolyn G. Heilbrun",The Moonstone,4.0
"Italo Calvino, William Weaver",If on a Winter's Night a Traveler,4.0
"Gregory Maguire, Douglas Smith","Son of a Witch (The Wicked Years, #2)",3.0
Ian McEwan,On Chesil Beach,4.0
Patricia MacLachlan,"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",4.0
Christopher Moore,"Bloodsucking Fiends (A Love Story, #1)",4.0
"David Sedaris, Ian Falconer",Squirrel Seeks Chipmunk: A Modest Bestiary,3.0
Brené Brown,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.0
Ann Patchett,Commonwealth,4.0
Melissa de la Cruz,"The Van Alen Legacy (Blue Bloods, #4)",4.0
Robert McCloskey,Blueberries for Sal,4.0
Colleen Hoover,"Losing Hope (Hopeless, #2)",4.0
Stephen King,Lisey's Story,4.0
Eben Alexander,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,4.0
Terry Pratchett,"Men at Arms (Discworld, #15; City Watch #2)",4.0
A.J. Jacobs,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,4.0
Frank Herbert,God Emperor of Dune (Dune Chronicles #4),4.0
Emily Giffin,The One & Only,3.0
Jean M. Auel,"The Valley of Horses (Earth's Children, #2)",4.0
Harlan Coben,Six Years,4.0
Katherine Dunn,Geek Love,4.0
"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald","The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)",4.0
Robert Penn Warren,All the King's Men,4.0
Ann Brashares,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",4.0
Harlan Coben,The Woods,4.0
Robert Jordan,"New Spring (Wheel of Time, #0)",4.0
John Grisham,The Litigators,4.0
"Fredrik Backman, Henning Koch",My Grandmother Asked Me to Tell You She's Sorry,4.0
Vince Flynn,"American Assassin (Mitch Rapp, #1)",4.0
Hannah Kent,Burial Rites,4.0
Sarah Waters,Fingersmith,4.0
Peter Mayle,A Year in Provence,4.0
"Kate DiCamillo, Bagram Ibatoulline",The Miraculous Journey of Edward Tulane,4.0
Jojo Moyes,The Last Letter from Your Lover,4.0
Martin Cruz Smith,"Gorky Park (Arkady Renko, #1)",4.0
Tara Conklin,The House Girl,4.0
Meg Cabot,"Queen of Babble (Queen of Babble, #1)",4.0
Jeff Kinney,"The Third Wheel (Diary of a Wimpy Kid, #7)",4.0
Elizabeth Wein,"Code Name Verity (Code Name Verity, #1)",4.0
Ellen Hopkins,"Burned (Burned, #1)",4.0
Sidney Sheldon,Master of the Game,4.0
Patricia Cornwell,"The Body Farm (Kay Scarpetta, #5)",4.0
Meg Cabot,"The Boy Next Door (Boy, #1)",4.0
"Anonymous, N.K. Sandars",The Epic of Gilgamesh,4.0
Anna Godbersen,"The Luxe (Luxe, #1)",4.0
Philip Roth,"American Pastoral (The American Trilogy, #1)",4.0
Elizabeth Gilbert,Big Magic: Creative Living Beyond Fear,4.0
Jim Butcher,"Skin Game (The Dresden Files, #15)",5.0
Gena Showalter,The Darkest Night (Lords of the Underworld #1),4.0
Neal Stephenson,Anathem,4.0
Barbara Kingsolver,The Lacuna,4.0
Terry Pratchett,"Hogfather (Discworld, #20; Death, #4)",4.0
Elizabeth Berg,Open House,4.0
Jeannette Walls,The Silver Star,4.0
John Irving,The Hotel New Hampshire,4.0
Laurell K. Hamilton,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",4.0
Nora Roberts,"Key of Light (Key Trilogy, #1)",4.0
Ellen Hopkins,Identical,4.0
"Janet Evanovich, Lorelei King","Smokin' Seventeen (Stephanie Plum, #17)",4.0
Dr. Seuss,The Sneetches and Other Stories,4.0
"Bill Martin Jr., Eric Carle","Polar Bear, Polar Bear, What Do You Hear?",4.0
Kurt Vonnegut Jr.,"God Bless You, Mr. Rosewater",4.0
"Yoshiki Nakamura, Tomo Kimura","Skip Beat!, Vol. 01",4.0
Frank Miller,Batman: The Dark Knight Returns #1,4.0
"J.K. Rowling, Mary GrandPré","The Harry Potter Collection 1-4 (Harry Potter, #1-4)",5.0
Paolo Bacigalupi,The Windup Girl,4.0
"Oscar Wilde, Richard Allen Cave",The Importance of Being Earnest and Other Plays,4.0
Stephanie Perkins,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",4.0
Ilona Andrews,"Magic Bites (Kate Daniels, #1)",4.0
Jodi Ellen Malpas,"This Man Confessed (This Man, #3)",4.0
Terry Pratchett,"Sourcery (Discworld, #5; Rincewind #3)",4.0
"Grant Morrison, Dave McKean",Batman: Arkham Asylum - A Serious House on Serious Earth,4.0
Jenny Han,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",4.0
David Baldacci,"Memory Man (Amos Decker, #1)",4.0
Hillary Jordan,Mudbound,4.0
Mark Bowden,Black Hawk Down,4.0
"V.E. Schwab, Victoria Schwab","A Darker Shade of Magic (Shades of Magic, #1)",4.0
David Grann,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,4.0
Brandon Sanderson,"Firefight (The Reckoners, #2)",4.0
Trudi Canavan,"The Magicians' Guild (Black Magician Trilogy, #1)",4.0
Michael Scott,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",4.0
Lee Child,"61 Hours (Jack Reacher, #14)",4.0
Patricia McCormick,Cut,4.0
"Roald Dahl, Quentin Blake",George's Marvellous Medicine,4.0
Jane Smiley,A Thousand Acres,4.0
Lloyd Alexander,"The Book of Three (The Chronicles of Prydain, #1)",4.0
Patricia Briggs,"Cry Wolf (Alpha & Omega, #1)",4.0
Ian Falconer,Olivia,4.0
Kent Haruf,"Plainsong (Plainsong, #1)",4.0
Daniel Clowes,Ghost World,4.0
Amanda Hocking,"Torn (Trylle, #2)",4.0
"Ivan Turgenev, George Reavy, Jane Costlow",Fathers and Sons,4.0
"Eliyahu M. Goldratt, Jeff Cox",The Goal: A Process of Ongoing Improvement,4.0
Geraldine Brooks,Caleb's Crossing,4.0
Claudia Gray,"Evernight (Evernight, #1)",4.0
Lee Child,"Bad Luck and Trouble (Jack Reacher, #11)",4.0
Karen Joy Fowler,The Jane Austen Book Club,3.0
Ian McEwan,The Children Act,4.0
Janet Evanovich,"Sizzling Sixteen (Stephanie Plum, #16)",4.0
Ashlee Vance,Elon Musk: Inventing the Future,4.0
James S.A. Corey,"Caliban's War (The Expanse, #2)",4.0
Rebecca Donovan,"Barely Breathing (Breathing, #2)",4.0
"Homer, Robert Fagles, Bernard Knox",The Iliad/The Odyssey,4.0
"Mark Waid, Alex Ross, Elliot S. Maggin",Kingdom Come,4.0
Sarah Waters,Tipping the Velvet,4.0
"Chris Colfer, Brandon Dorman","The Wishing Spell (The Land of Stories, #1)",4.0
David Ebershoff,The 19th Wife,4.0
Walter Dean Myers,Monster,4.0
George R.R. Martin,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",5.0
Patricia Cornwell,"Body of Evidence (Kay Scarpetta, #2)",4.0
"Brian K. Vaughan, Fiona Staples",Saga #1,4.0
Sara Shepard,"Perfect (Pretty Little Liars, #3)",4.0
Jessica Sorensen,"The Secret of Ella and Micha (The Secret, #1)",4.0
Kevin Hearne,"Hounded (The Iron Druid Chronicles, #1)",4.0
Stephen King,From a Buick 8,3.0
Kim Stanley Robinson,"Red Mars (Mars Trilogy, #1)",4.0
"Charlotte Perkins Gilman, Elaine Hedges",The Yellow Wall-Paper,4.0
Nora Roberts,"Sea Swept (Chesapeake Bay Saga, #1)",4.0
Brent Weeks,"The Blinding Knife (Lightbringer, #2)",4.0
Morgan Matson,Since You've Been Gone,4.0
Steve Martin,An Object of Beauty,4.0
John Flanagan,"The Icebound Land (Ranger's Apprentice, #3)",4.0
"Peter Thiel, Blake  Masters","Zero to One: Notes on Startups, or How to Build the Future",4.0
Sarah J. Maas,"Empire of Storms (Throne of Glass, #5)",5.0
Gillian Flynn,The Grownup,4.0
Neil Gaiman,Smoke and Mirrors: Short Fiction and Illusions,4.0
Amish Tripathi,"The Oath of the Vayuputras (Shiva Trilogy, #3)",4.0
Kurt Vonnegut Jr.,Welcome to the Monkey House,4.0
David McCullough,Truman,4.0
Ron Chernow,Alexander Hamilton,4.0
"Nikolai Gogol, Robert A. Maguire",Dead Souls,4.0
Elle Kennedy,"The Deal (Off-Campus, #1)",4.0
Kiera Cass,"The Crown (The Selection, #5)",4.0
David Baldacci,"Zero Day (John Puller, #1)",4.0
L.J. Smith,"Night World, No. 1 (Night World, #1-3)",4.0
Tina Reber,"Love Unscripted (Love, #1)",4.0
James Patterson,"Pop Goes the Weasel (Alex Cross, #5)",4.0
Alison Weir,The Six Wives of Henry VIII,4.0
"Yevgeny Zamyatin, Clarence Brown",We,4.0
Barbara Kingsolver,Pigs in Heaven,4.0
Alan Paton,"Cry, the Beloved Country",4.0
Gregory Maguire,Confessions of an Ugly Stepsister,4.0
Cassandra Clare,"Lady Midnight (The Dark Artifices, #1)",4.0
Cornelia Funke,"Inkdeath (Inkworld, #3)",4.0
Isaac Asimov,Foundation's Edge (Foundation #4),4.0
Thomas Hardy,Jude the Obscure,4.0
David Eddings,"Queen of Sorcery (The Belgariad, #2)",4.0
Shirley Jackson,The Lottery and Other Stories,4.0
Margaret Peterson Haddix,"Into the Gauntlet (The 39 Clues, #10)",4.0
Aprilynne Pike,"Wings (Wings, #1)",4.0
Cecily von Ziegesar,"Gossip Girl (Gossip Girl, #1)",4.0
Frederick Forsyth,The Odessa File,4.0
Elizabeth Strout,The Burgess Boys,4.0
Yuval Noah Harari,Sapiens: A Brief History of Humankind,4.0
"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",Lies That Chelsea Handler Told Me,4.0
Tana French,"Broken Harbour (Dublin Murder Squad, #4)",4.0
M. Leighton,"Down to You (The Bad Boys, #1)",4.0
William Shakespeare,The Complete Works,4.0
Ursula K. Le Guin,The Dispossessed,4.0
"Henning Mankell, Steven T. Murray","Faceless Killers (Kurt Wallander, #1)",4.0
John Grisham,The Confession,4.0
Dean Koontz,Lightning,4.0
Judy Blume,"Superfudge (Fudge, #3)",4.0
Shari Lapena,The Couple Next Door,4.0
Cynthia Hand,"Hallowed (Unearthly, #2)",4.0
Ann Leckie,Ancillary Justice (Imperial Radch #1),4.0
"James C. Collins, Jerry I. Porras",Built to Last: Successful Habits of Visionary Companies,4.0
Eric Wilson,Fireproof,4.0
Laurell K. Hamilton,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",4.0
David Wong,"John Dies at the End (John Dies at the End, #1)",4.0
"Carl Sagan, Ann Druyan",The Demon-Haunted World: Science as a Candle in the Dark,4.0
Lucy Christopher,Stolen: A Letter to My Captor,4.0
Stanisław Lem,Solaris,4.0
Elizabeth Wurtzel,Prozac Nation,4.0
Lloyd Alexander,The Black Cauldron (The Chronicles of Prydain #2),4.0
Mitch Albom,The First Phone Call from Heaven,4.0
Augusten Burroughs,Possible Side Effects,4.0
Anna Quindlen,Still Life with Bread Crumbs,4.0
Agatha Christie,"The A.B.C. Murders (Hercule Poirot, #13)",4.0
Anonymous,Holy Bible: New International Version,5.0
J.R. Ward,"Lover Reborn (Black Dagger Brotherhood, #10)",4.0
Julia Quinn,"The Duke and I (Bridgertons, #1)",4.0
"Margaret Weis, Tracy Hickman","Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",4.0
Richard K. Morgan,"Altered Carbon (Takeshi Kovacs, #1)",4.0
A.J. Banner,The Good Neighbor,3.0
"Brian K. Vaughan, Fiona Staples","Saga, Vol. 2 (Saga, #2)",5.0
Lee Child,"The Enemy (Jack Reacher, #8)",4.0
Michael   Lewis,Flash Boys: A Wall Street Revolt,4.0
"Jean-Dominique Bauby, Jeremy Leggatt",The Diving Bell and the Butterfly,4.0
"Bill O'Reilly, Martin Dugard",Killing Kennedy: The End of Camelot,4.0
Chevy Stevens,Still Missing,4.0
Frank McCourt,"'Tis (Frank McCourt, #2)",4.0
Charles C. Mann,1491: New Revelations of the Americas Before Columbus,4.0
Marissa Meyer,"Fairest (The Lunar Chronicles, #3.5)",4.0
Kay Redfield Jamison,An Unquiet Mind: A Memoir of Moods and Madness,4.0
Edward Albee,Who's Afraid of Virginia Woolf?,4.0
Andrzej Sapkowski,"The Last Wish (The Witcher, #1)",4.0
"Umberto Eco, William Weaver",Foucault's Pendulum,4.0
Don Freeman,A Pocket for Corduroy,4.0
Jacqueline Carey,"Kushiel's Dart (Phèdre's Trilogy, #1)",4.0
Eric Metaxas,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",4.0
Janet Evanovich,"Explosive Eighteen (Stephanie Plum, #18)",4.0
Michael  Grant,"Lies (Gone, #3)",4.0
Julie Kagawa,"The Iron Knight (The Iron Fey, #4)",4.0
Jacqueline Winspear,"Maisie Dobbs (Maisie Dobbs, #1)",4.0
Raymond E. Feist,"Magician (The Riftwar Saga, #1-2)",4.0
Ann Brashares,"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",4.0
"Stieg Larsson, Reg Keeland","The Millennium Trilogy (Millennium Trilogy, #1-3)",4.0
Dot Hutchison,The Butterfly Garden (The Collector #1),4.0
Jeaniene Frost,"Destined for an Early Grave (Night Huntress, #4)",4.0
R.K. Lilley,"In Flight (Up in the Air, #1)",4.0
James Patterson,"Cross (Alex Cross, #12)",4.0
Meg Cabot,"All-American Girl (All-American Girl, #1)",4.0
Bill Bryson,Neither Here nor There: Travels in Europe,4.0
David Levithan,Boy Meets Boy,4.0
Wally Lamb,We Are Water,4.0
James Patterson,"Max (Maximum Ride, #5)",4.0
Alexandra Adornetto,"Halo (Halo, #1)",4.0
Kiran Desai,The Inheritance of Loss,3.0
"Johann Wolfgang von Goethe, Burton Pike",The Sorrows of Young Werther,4.0
Jeaniene Frost,"At Grave's End (Night Huntress, #3)",4.0
Alexandra Fuller,Don't Let's Go to the Dogs Tonight,4.0
Robin McKinley,Beauty: A Retelling of the Story of Beauty and the Beast,4.0
Jonathan Safran Foer,Eating Animals,4.0
"Angie Sage, Mark Zug","Flyte (Septimus Heap, #2)",4.0
Rae Carson,"The Girl of Fire and Thorns (Fire and Thorns, #1)",4.0
Ann Aguirre,"Enclave (Razorland, #1)",4.0
"Dava Sobel, Neil Armstrong",Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,4.0
"Johann Wolfgang von Goethe, Peter Salm",Faust: First Part,4.0
James W. Loewen,Lies My Teacher Told Me,4.0
"Joe Hill, Gabriel Rodríguez","Locke & Key, Vol. 1: Welcome to Lovecraft",4.0
Patrick Ness,"The Ask and the Answer (Chaos Walking, #2)",4.0
Alexandra Ripley,Scarlett,3.0
Laurell K. Hamilton,"Bloody Bones (Anita Blake, Vampire Hunter #5)",4.0
F. Scott Fitzgerald,This Side of Paradise,4.0
Blaine Harden,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,4.0
Kim Harrison,"Every Which Way But Dead (The Hollows, #3)",4.0
Curtis Sittenfeld,"Eligible: A Modern Retelling of Pride and Prejudice (The Austen Project, #4)",4.0
"J.R.R. Tolkien, Christopher Tolkien, Alan Lee",The Children of Húrin,4.0
"Richard Atwater, Florence Atwater, Robert Lawson",Mr. Popper's Penguins,4.0
Lev Grossman,"The Magician's Land (The Magicians, #3)",4.0
William Faulkner,Light in August,4.0
"E.B. White, Fred Marcellino",The Trumpet of the Swan,4.0
George Saunders,Tenth of December,4.0
Sherrilyn Kenyon,"Night Pleasures (Dark-Hunter, #1)",4.0
"Thomas J. Stanley, William D. Danko",The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,4.0
Ally Carter,"Don't Judge a Girl by Her Cover (Gallagher Girls, #3)",4.0
Bob Dylan,"Chronicles, Vol. 1",4.0
Bill Bryson,The Lost Continent: Travels in Small Town America,4.0
Sidney Sheldon,Tell Me Your Dreams,4.0
Iain M. Banks,"The Player of Games (Culture, #2)",4.0
"George Selden, Garth Williams",The Cricket in Times Square,4.0
Patrick Lencioni,The Five Dysfunctions of a Team: A Leadership Fable,4.0
"William S. Burroughs, Oliver  Harris, Allen Ginsberg",Junky,4.0
"Roger Fisher, William Ury, Bruce Patton",Getting to Yes: Negotiating an Agreement Without Giving In,4.0
Colleen Hoover,November 9,4.0
Kerry Lonsdale,"Everything We Keep (Everything We Keep, #1)",4.0
Samantha Towle,"The Mighty Storm (The Storm, #1)",4.0
Madeline Miller,The Song of Achilles,4.0
Amy Schumer,The Girl with the Lower Back Tattoo,4.0
"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",The Bhagavad Gita,4.0
"Paul Auster, Art Spiegelman",The New York Trilogy,4.0
Pam Muñoz Ryan,Esperanza Rising,4.0
J.D. Salinger,"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",4.0
Laurell K. Hamilton,"The Killing Dance (Anita Blake, Vampire Hunter, #6)",4.0
"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",Beyond Good and Evil,4.0
Christopher Paul Curtis,The Watsons Go to Birmingham - 1963,4.0
Julie Kagawa,"The Immortal Rules (Blood of Eden, #1)",4.0
Dave Cullen,Columbine,4.0
Anne Rice,"Lasher (Lives of the Mayfair Witches, #2)",4.0
Laila Ibrahim,Yellow Crocus,4.0
"Mark Owen, Kevin Maurer",No Easy Day: The Firsthand Account of the Mission That Killed Osama Bin Laden,4.0
Laura Moriarty,The Chaperone,4.0
Patricia Cornwell,"All That Remains (Kay Scarpetta, #3)",4.0
"Richard Bachman, Stephen King",The Regulators,4.0
"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",Season of Mists (The Sandman #4),5.0
"James Patterson, Andrew Gross",Judge & Jury,4.0
Jennifer L. Armentrout,"Origin (Lux, #4)",4.0
"Kami Garcia, Margaret Stohl","Beautiful Redemption (Caster Chronicles, #4)",4.0
Kate Morton,The Distant Hours,4.0
David Sheff,Beautiful Boy: A Father's Journey Through His Son's Addiction,4.0
Abbi Glines,"The Vincent Boys (The Vincent Boys, #1)",4.0
Edgar Allan Poe,The Cask of Amontillado,4.0
"Ovid, David Raeburn, Denis Feeney",Metamorphoses,4.0
Julia Alvarez,In the Time of the Butterflies,4.0
Robert Morgan,Gap Creek,4.0
Jennifer L. Armentrout,"Half-Blood (Covenant, #1)",4.0
"Bo Hampton, Tracey Hampton, Washington Irving",The Legend of Sleepy Hollow (Graphic Novel),4.0
